"","ID","publication_year","journal","first_author","doi","informal_citation","impact_factor_2016","study_focus","geographic_extent_of_study","tense_description","climate_date_range","climate_date_min","climate_date_max","climate_data_source","citation_type","description_access_to_source","source_sufficient"
"464",474,2002,"Diversity_and_Distributions","Muster","10.1046/j.1472-4642.2002.00131.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2002.00131.x/abstract",8.502,"general ecology","regional","present",FALSE,NA,NA,"atlas","","",""
"465",475,2002,"Diversity_and_Distributions","Sax","10.1046/j.1472-4642.2002.00147.x","http://onlinelibrary.wiley.com/doi/10.1046/j.1472-4642.2002.00147.x/abstract",8.502,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"467",477,2002,"American_Naturalist","van Rensburg","10.1086/339464","http://www.jstor.org/stable/10.1086/339464",5.813,"general ecology","regional","implicit past",FALSE,NA,NA,"regional","","",""
"469",479,2003,"American_Naturalist","Francis","10.1086/368223","http://www.jstor.org/stable/10.1086/368223",5.813,"general ecology","global","present",FALSE,NA,NA,"multiple sources","","",""
"470",480,2004,"American_Naturalist","Langvatn","10.1086/383594","http://www.jstor.org/stable/10.1086/383594",5.813,"general ecology","regional","unclear",FALSE,NA,NA,"regional","","",""
"475",485,2004,"American_Naturalist","Preisser","10.1086/383620","http://www.jstor.org/stable/10.1086/383620",5.813,"weather effects","site","past",TRUE,"1969","2002","multiple sources","","",""
"477",487,2006,"American_Naturalist","Angilletta","10.1086/507880","http://www.jstor.org/stable/10.1086/507880",5.813,"general ecology","regional","implicit past",TRUE,"1975","2002","station data","","",""
"478",756,2015,"Journal_of_Ecology","Semmartin","10.1111/1365-2745.12343","",9.661,"weather effects","global","implicit past",TRUE,"1950","2000","multiple sources","","",""
"482",492,2010,"Nature","Gething","10.1038/nature09098","http://www.nature.com/nature/journal/v465/n7296/pdf/nature09098.pdf",4.167,"climate change effects","global","past",TRUE,"1901","2002","name_of_GCM","","",""
"483",493,2010,"Nature","Pen","10.1038/nature09512","http://www.nature.com/nature/journal/v468/n7322/pdf/nature09512.pdf",4.167,"weather effects","regional","implicit past",TRUE,"2000","2007","regional","","",""
"484",81,1981,"Journal_of_Ecology","Nobel","10.2307/2259632","www.jstor.org/stable/2259632",5.813,"general ecology","site","present",FALSE,NA,NA,"not_specified","none","no","no"
"485",495,2010,"Ecology_Letters","Bagchi","10.1111/j.1461-0248.2009.01397.x","http://onlinelibrary.wiley.com/store/10.1111/j.1461-0248.2009.01397.x/asset/j.1461-0248.2009.01397.x.pdf?v=1&t=i55p8vba&s=c779ac35e2b4fdfc110b9fc6820251ce819cefc1",4.167,"general ecology","site","present",TRUE,"1985","2004","not_specified","","",""
"490",500,2010,"Ecology_Letters","Cadotte","10.1111/j.1461-0248.2009.01405.x","http://onlinelibrary.wiley.com/store/10.1111/j.1461-0248.2009.01405.x/asset/j.1461-0248.2009.01405.x.pdf?v=1&t=i55pclhv&s=9ed48ca555666adb9fd9f97ef1dd498a36fe865e",4.167,"general ecology","site","implicit present",FALSE,NA,NA,"not_specified","","",""
"491",501,2010,"Ecology_Letters","Cheng","10.1111/j.1461-0248.2009.01421.x","http://onlinelibrary.wiley.com/store/10.1111/j.1461-0248.2009.01421.x/asset/j.1461-0248.2009.01421.x.pdf?v=1&t=i55pg08x&s=9f0a2beb6b534a22dcb845b9260c17bc7804f135",4.167,"climate change effects","site","present",FALSE,NA,NA,"not_specified","","",""
"493",503,2010,"Ecology_Letters","Walker","10.1111/j.1461-0248.2009.01434.x","http://onlinelibrary.wiley.com/store/10.1111/j.1461-0248.2009.01434.x/asset/j.1461-0248.2009.01434.x.pdf?v=1&t=i55pk9gz&s=51bc6cd2dfbeb797d08b1e8bb426eaeb637e0168",4.167,"climate change effects","regional","implicit past",TRUE,"1950","2000","not_specified","","",""
"494",109,1983,"PNAS","Mooney","","http://www.pnas.org/content/80/5/1295.abstract",4.809,"general ecology","site","present",FALSE,NA,NA,"not_specified","none","no","no"
"495",505,2010,"Journal_of_Ecology","Leishman","10.1111/j.1365-2745.2009.01608.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01608.x/full",4.391,"general ecology","continental","implicit present",FALSE,NA,NA,"not_specified","","",""
"497",507,2010,"Journal_of_Ecology","Robson","10.1111/j.1365-2745.2009.01609.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01609.x/full",4.391,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"498",508,2010,"Journal_of_Ecology","Ruijven","10.1111/j.1365-2745.2009.01603.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01603.x/full",4.391,"weather effects","site","present",FALSE,NA,NA,"site data","","",""
"499",509,2010,"Journal_of_Ecology","Ferry","10.1111/j.1365-2745.2009.01604.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01604.x/full",4.391,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"500",510,2010,"Journal_of_Ecology","Dornbush","10.1111/j.1365-2745.2009.01605.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01605.x/full",4.391,"general ecology","site","inconsistent",TRUE,"2003","2006","not_specified","","",""
"502",512,2010,"Journal_of_Ecology","Bartelheimer","10.1111/j.1365-2745.2009.01598.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01598.x/full",4.391,"general ecology","site","past",TRUE,"2006","2007","station data","","",""
"503",513,2010,"Journal_of_Ecology","Gonzalez","10.1111/j.1365-2745.2009.01607.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01607.x/full",4.391,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"504",514,2010,"Journal_of_Ecology","Cramer","10.1111/j.1365-2745.2009.01594.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01594.x/full",4.391,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"508",518,2010,"Journal_of_Ecology","Beckstead","10.1111/j.1365-2745.2009.01599.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01599.x/full",4.391,"general ecology","site","present",FALSE,NA,NA,"multiple sources","","",""
"509",519,2010,"Journal_of_Ecology","Dalgleish","10.1111/j.1365-2745.2009.01585.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2009.01585.x/full",4.391,"climate change effects","site","inconsistent",TRUE,"1938","1972","not_specified","","",""
"516",132,1990,"Nature","Overpeck","","http://www.nature.com/nature/journal/v343/n6253/pdf/343051a0.pdf",9.449,"climate change effects","regional","past",FALSE,NA,NA,"not_specified","none","no","no"
"518",528,2010,"PNAS","Johnstone","10.1073/pnas.0915062107","http://www.pnas.org/content/107/10/4533.full.pdf",4.809,"climate change effects","regional","present",TRUE,"1951","2008","multiple sources","","",""
"520",530,2010,"PNAS","McCaffery","10.1073/pnas.0912945107","http://www.pnas.org/content/107/19/8644.full.pdf",4.809,"weather effects","site","past",TRUE,"2000","2008","station data","","",""
"521",531,2010,"PNAS","Yu","10.1073/pnas.1012490107","http://www.pnas.org/content/107/51/22151.full.pdf",4.809,"climate change effects","regional","implicit past",TRUE,"1982","2006","multiple sources","","",""
"523",533,2010,"PNAS","Harrison","10.1073/pnas.1006823107","http://www.pnas.org/content/107/45/19362.full.pdf",4.809,"climate change effects","regional","past",TRUE,"various start dates 1936, 1990","2010","multiple sources","","",""
"527",537,2010,"PNAS","Grant","10.1073/pnas.1015115107","http://www.pnas.org/content/107/47/20156.full.pdf",4.809,"weather effects","site","past",TRUE,"1993","1993","site data","","",""
"528",538,2010,"PNAS","Williams","10.1073/pnas.0914211107","http://www.pnas.org/content/107/50/21289.full.pdf",4.809,"climate change effects","regional","past",TRUE,"1895","2008","name_of_GCM","","",""
"529",539,2010,"Diversity_and_Distributions","Catford","10.1111/j.1472-4642.2009.00631.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1472-4642.2009.00631.x/epdf",9.449,"general ecology","continental","present",FALSE,NA,NA,"not_specified","","",""
"530",540,2010,"Diversity_and_Distributions","Ellis","10.1111/j.1472-4642.2009.00624.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1472-4642.2009.00624.x/epdf",9.449,"general ecology","regional","implicit past",TRUE,"1961","2000","regional","","",""
"531",541,2010,"Diversity_and_Distributions","Tang","10.1111/j.1472-4642.2009.00628.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1472-4642.2009.00628.x/epdf",9.449,"climate change effects","regional","implicit past",TRUE,"1961","1990","name_of_GCM","","",""
"536",546,2010,"Diversity_and_Distributions","Yates","10.1111/j.1472-4642.2009.00623.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1472-4642.2009.00623.x/epdf",9.449,"climate change effects","regional","inconsistent",TRUE,"1961","1990","station data","","",""
"538",134,1990,"Ecology","Denslow","10.2307/1940257","http://www.jstor.org/stable/1940257",9.449,"general ecology","site","present",FALSE,NA,NA,"not_specified","none","no","no"
"540",550,2010,"Diversity_and_Distributions","Kreyling","10.1111/j.1472-4642.2010.00675.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1472-4642.2010.00675.x/epdf",9.449,"climate change effects","regional","present",TRUE,"1972","2005","station data","","",""
"541",551,2010,"Diversity_and_Distributions","Wang","10.1111/j.1472-4642.2010.00682.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1472-4642.2010.00682.x/epdf",9.449,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"542",142,1990,"Journal_of_Ecology","Groves","10.2307/2261035","http://www.jstor.org/stable/2261035",40.137,"general ecology","site","present",TRUE,NA,NA,"not_specified","none","no","no"
"543",553,2010,"GCB","Musolin","10.1111/j.1365-2486.2009.01914.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.01914.x/abstract",8.502,"general ecology","site","past",TRUE,"2006","2007","site data","","",""
"544",554,2010,"GCB","Clark","10.1111/j.1365-2486.2009.01983.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.01983.x/abstract",8.502,"weather effects","regional","present",TRUE,"1930","2004","multiple sources","","",""
"549",559,2010,"GCB","Klapwijk","10.1111/j.1365-2486.2009.01918.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.01918.x/abstract",8.502,"climate change effects","site","implicit past",TRUE,"3/6/2015","6/6/2015","station data","","",""
"550",560,2010,"GCB","Niu","10.1111/j.1365-2486.2009.01894.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.01894.x/abstract",8.502,"general ecology","site","present",TRUE,"1953","2006","not_specified","","",""
"551",561,2010,"GCB","Jenkins","10.1111/j.1365-2486.2009.01954.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.01954.x/abstract",8.502,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"552",562,2010,"GCB","Goldberg","10.1111/j.1365-2486.2009.02015.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.02015.x/abstract",8.502,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"553",563,2010,"GCB","Ow","10.1111/j.1365-2486.2009.01892.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.01892.x/abstract",8.502,"weather effects","site","inconsistent",FALSE,NA,NA,"not_specified","","",""
"555",565,2010,"GCB","Murphy","10.1111/j.1365-2486.2009.01933.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.01933.x/abstract",8.502,"weather effects","continental","present",FALSE,NA,NA,"not_specified","","",""
"556",566,2010,"GCB","Bai","10.1111/j.1365-2486.2009.01950.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.01950.x/abstract",8.502,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"557",567,2010,"GCB","Doi","10.1111/j.1365-2486.2009.01993.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.01993.x/abstract",8.502,"climate change effects","regional","implicit past",TRUE,"1953","2005","station data","","",""
"558",263,1999,"Diversity_and_Distributions","Lamont","10.1046/j.1472-4642.1999.00032.x","http://www.jstor.org/stable/2673310",5.813,"general ecology","site","present",FALSE,NA,NA,"not_specified","none","no","no"
"559",569,2010,"American_Naturalist","Cooper","10.1086/656491","http://www.jstor.org/stable/10.1086/656491",8.502,"weather effects","site","past",TRUE,"2006","2006","site data","","",""
"560",750,2015,"Journal_of_Ecology","Jager","10.1111/1365-2745.12366","",9.661,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"561",571,2010,"Ecology","weather station mentioned but not clear whether rainfall data from station or from site data collection. NAIA: based on re-read changed tense: inconsistent-->present, confidence_in_tense: FALSE-->TRUE, climate_date_range: NA-->FALSE","10.2307/25661030","http://www.jstor.org/stable/25661030",5.813,"climate change effects","site","present",FALSE,NA,NA,"not_specified","","",""
"562",572,2010,"Ecology","Hunter","10.1890/09-1641.1","http://www.jstor.org/stable/20788114",5.813,"climate change effects","regional","present",FALSE,NA,NA,"not_specified","","",""
"564",548,2010,"Diversity_and_Distributions","Matthews","10.1111/j.1472-4642.2010.00638.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1472-4642.2010.00638.x/epdf",9.449,"climate change effects","regional","present",FALSE,NA,NA,"site data","organization","no","no"
"568",578,2010,"Ecology","Murphy","10.2307/25661041","http://www.jstor.org/stable/25661041",5.813,"general ecology","site","unclear",FALSE,NA,NA,"multiple sources","","",""
"570",580,2010,"Ecology","Karhu","10.2307/25661063","http://www.jstor.org/stable/25661063",5.813,"climate change effects","site","implicit present",FALSE,NA,NA,"not_specified","","",""
"571",581,2010,"Ecology","Lebrija-Trejos","10.2307/25661065","http://www.jstor.org/stable/25661065",5.813,"general ecology","site","present",FALSE,NA,NA,"site data","","",""
"573",583,2010,"Ecology","Forrest","10.2307/25661069","http://www.jstor.org/stable/25661069",5.813,"climate change effects","site","implicit past",FALSE,NA,NA,"station data","","",""
"575",585,2010,"Ecology","Camill","10.2307/25661071","http://www.jstor.org/stable/29779523",5.813,"weather effects","site","implicit past",TRUE,"1988","2003","station data","","",""
"576",586,2010,"Ecology","Canham","10.1890/10-0312.1","",40.137,"climate change effects","regional","implicit past",FALSE,NA,NA,"name_of_GCM","","",""
"577",587,2010,"Ecology","Previtali","10.2307/25661083","http://www.jstor.org/stable/25661083",40.137,"weather effects","site","past",TRUE,"1990","2007","station data","","",""
"578",588,2010,"Ecology","McCain","10.2307/25661085","http://www.jstor.org/stable/25661085",40.137,"general ecology","global","implicit present",FALSE,NA,NA,"name_of_GCM","","",""
"579",589,2010,"Ecology","Piao","10.2307/25661099","http://www.jstor.org/stable/25661099",40.137,"weather effects","global","present",FALSE,NA,NA,"not_specified","","",""
"580",590,2010,"Ecology","Stien","10.2307/25661122","http://www.jstor.org/stable/25661122",40.137,"climate change effects","regional","implicit past",FALSE,NA,NA,"station data","","",""
"581",591,2011,"PNAS","Ellis","10.1073/pnas.1013006108","http://www.pnas.org/content/108/3/1070.full.pdf",4.809,"general ecology","site","past",TRUE,"1977","2005","station data","","",""
"582",592,2011,"PNAS","Melillo","10.1073/pnas.1018189108","http://www.pnas.org/content/108/23/9508.full.pdf",4.809,"climate change effects","site","present",FALSE,NA,NA,"not_specified","","",""
"584",594,2011,"PNAS","Mueller","10.1073/pnas.1015806108","http://www.pnas.org/content/108/10/4053.full.pdf",4.809,"general ecology","regional","present",FALSE,NA,NA,"name_of_GCM","","",""
"593",603,2015,"PNAS","Elmendorf","10.1073/pnas.1410088112","10.1073/pnas.1410088112",40.137,"climate change effects","continental","implicit past",TRUE,"1950","2000","name_of_GCM","","",""
"596",606,2015,"PNAS","Kelley","10.1073/pnas.1421533112","10.1073/pnas.1421533112",40.137,"climate change effects","regional","implicit past",TRUE,"1900","2011","multiple sources","","",""
"610",620,2015,"PNAS","Tack","10.1073/pnas.1415181112","10.1073/pnas.1415181112",40.137,"weather effects","regional","implicit past",TRUE,"1985","2013","station data","","",""
"611",621,2015,"Ecology","Razafindratsima","10.1890/14-0684.1","",40.137,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"612",622,2015,"Ecology","Milodowski","10.1890/14-0649.1","",40.137,"general ecology","regional","present",FALSE,NA,NA,"name_of_GCM","","",""
"613",623,2015,"Ecology","Alvarez-Cansino","10.1890/14-1002.1","",40.137,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"614",624,2015,"Ecology","Uboni","10.1890/13-2116.1","",40.137,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"635",645,2015,"Nature","Doughty","10.1038/nature14213","",40.137,"weather effects","regional","implicit past",TRUE,"1998","2012","multiple sources","","",""
"645",655,2015,"Nature","Fu","10.1038/nature15402","",40.137,"climate change effects","continental","past",TRUE,"1980","2013","multiple sources","","",""
"650",660,2015,"Nature","Rowland","10.1038/nature15539","",40.137,"weather effects","site","present",FALSE,NA,NA,"not_specified","","",""
"651",661,2015,"GCB","Youngsteadt","10.1111/gcb.12692","",40.137,"climate change effects","regional","implicit past",TRUE,"1895","2013","name_of_GCM","","",""
"652",662,2015,"GCB","Kozlov","10.1111/gcb.12682","",40.137,"general ecology","continental","implicit past",TRUE,"2007","2010","station data","","",""
"656",216,1995,"GCB","STRATHDEE","10.1111/j.1365-2486.1995.tb00003.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.1995.tb00003.x/abstract",4.167,"climate change effects","site","past",TRUE,"1993","1993","site data","own measurements","no","no"
"657",747,2015,"Journal_of_Ecology","Farrer","10.1111/1365-2745.12363","",9.661,"climate change effects","site","implicit past",TRUE,"2006","2012","not_specified","","",""
"658",754,2015,"Journal_of_Ecology","Rudgers","10.1111/1365-2745.12338","",9.661,"climate change effects","site","implicit past",TRUE,"2011","2013","site data","own measurements","yes","yes"
"662",198,1992,"PNAS","Ulmasov","10.1073/pnas.89.5.1666","http://www.pnas.org/content/89/5/1666.full.pdf+html",4.167,"general ecology","global","implicit present",FALSE,NA,NA,"not_specified","paper","no","unclear"
"663",574,2010,"Ecology","Barton","10.1890/09-2278.1","http://www.jstor.org/stable/20788107 ",5.813,"climate change effects","site","present",FALSE,NA,NA,"not_specified","paper","no","no"
"671",681,2015,"American_Naturalist","Collins","https://doi.org/10.1086/679315","",9.661,"climate change effects","site","past",TRUE,"1989","2008","station data","","",""
"672",682,2015,"American_Naturalist","Laiolo","https://doi.org/10.1086/679348","",9.661,"general ecology","site","present",FALSE,NA,NA,"not_specified","","",""
"675",685,2015,"American_Naturalist","Treddenick","https://doi.org/10.1086/680475","",9.661,"general ecology","regional","implicit present",FALSE,NA,NA,"not_specified","","",""
"676",686,2015,"American_Naturalist","Wüest","https://doi.org/10.1086/680551","",9.661,"general ecology","global","present",FALSE,NA,NA,"name_of_GCM","","",""
"691",701,2015,"Diversity_and_Distributions","Bucklin","10.1111/ddi.12247","",9.661,"general ecology","regional","implicit past",TRUE,"1981","2010","name_of_GCM","","",""
"692",702,2015,"Diversity_and_Distributions","Mahoney","10.1111/ddi.12240","",9.661,"general ecology","regional","implicit present",FALSE,NA,NA,"not_specified","","",""
"700",673,2015,"GCB","Drake","10.1111/gcb.12729","",9.661,"climate change effects","continental","implicit past",FALSE,NA,NA,"station data","paper","no","no"
"701",719,2015,"Diversity_and_Distributions","Daru","10.1111/ddi.12290","",9.661,"weather effects","regional","implicit present",FALSE,NA,NA,"name_of_GCM","paper","no","no"
"709",488,2010,"Nature","Wolf","10.1038/nature08931","http://www.nature.com/nature/journal/v464/n7290/pdf/nature08931.pdf",4.167,"weather effects","regional","present",FALSE,NA,NA,"name_of_GCM","database and paper","no","unclear"
"711",721,2015,"Ecology_Letters","Lu","10.1111/ele.12391","",9.661,"climate change effects","regional","implicit past",TRUE,"1960","2010","station data","","",""
"731",741,2015,"Journal_of_Ecology","Benchimol","10.1111/1365-2745.12371","",9.661,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"732",742,2015,"Journal_of_Ecology","Bernard-Verdier","10.1111/1365-2745.12341","",9.661,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
"737",494,2010,"Ecology_Letters","Cheng-Yuan","10.1111/j.1461-0248.2009.01395.x","http://onlinelibrary.wiley.com/store/10.1111/j.1461-0248.2009.01395.x/asset/j.1461-0248.2009.01395.x.pdf?v=1&t=i55p7i2w&s=d44f84e722a8956d8d6b6fc0ebfa110995710db3",4.167,"general ecology","regional","unclear",FALSE,NA,NA,"multiple sources","database and paper","no","unclear"
"738",710,2015,"Diversity_and_Distributions","Pekarsky","10.1111/ddi.12306","",9.661,"general ecology","continental","implicit present",FALSE,NA,NA,"name_of_GCM","database and paper","yes","no"
"739",748,2015,"Journal_of_Ecology","Finegan","10.1111/1365-2745.12346","",9.661,"general ecology","site","implicit present",FALSE,NA,NA,"not_specified","paper","no","no"
"740",753,2015,"Journal_of_Ecology","Prieto","10.1111/1365-2745.12351","",9.661,"general ecology","global","present",FALSE,NA,NA,"not_specified","","",""
"741",711,2015,"Diversity_and_Distributions","Thomson","10.1111/ddi.12294","",9.661,"general ecology","regional","implicit present",TRUE,"1989","2009","not_specified","report","no","unclear"
"742",752,2015,"Journal_of_Ecology","Piper","10.1111/1365-2745.12356","",9.661,"general ecology","site","present",FALSE,NA,NA,"station data","","",""
"743",552,2010,"GCB","Pearce-Higgins","10.1111/j.1365-2486.2009.01883.x","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2009.01883.x/abstract",9.449,"climate change effects","site","past",TRUE,"1972","2005","multiple sources","weather stations","no","no"
"744",672,2015,"GCB","Holz","10.1111/gcb.12674","",9.661,"climate change effects","site","present",FALSE,NA,NA,"station data","weather stations","no","no"
"745",755,2015,"Journal_of_Ecology","Schworer","10.1111/1365-2745.12354","",9.661,"climate change effects","site","present",FALSE,NA,NA,"station data","","",""
"746",749,2015,"Journal_of_Ecology","Holmgren","10.1111/1365-2745.12331","",9.661,"general ecology","site","implicit past",TRUE,"1970","2010","station data","weather stations","yes","yes"
"747",757,2015,"Journal_of_Ecology","Spear","10.1111/1365-2745.12339","",9.661,"weather effects","site","present",FALSE,NA,NA,"not_specified","","",""
"748",751,2015,"Journal_of_Ecology","Lazaro-Nogal","10.1111/1365-2745.12372","",9.661,"climate change effects","regional","past",TRUE,"1921","2012","station data","","",""
"749",758,2015,"Journal_of_Ecology","Standish","10.1111/1365-2745.12301","",9.661,"climate change effects","site","past",TRUE,"1992","2001","station data","weather stations","no","yes"
"750",760,2015,"Journal_of_Ecology","Wadgymar","10.1111/1365-2745.12362","",9.661,"general ecology","site","past",FALSE,NA,NA,"station data","","",""
"751",761,2015,"Ecology_Letters","Prober","10.1111/ele.12381","",9.661,"general ecology","global","implicit present",FALSE,NA,NA,"name_of_GCM","","",""
"752",762,2015,"Ecology_Letters","Allan","10.1111/ele.12469","",9.661,"general ecology","regional","present",FALSE,NA,NA,"not_specified","","",""
